iter	Passed	Remaining
1136	65252	20832
1137	65309	20775
1138	65367	20717
1139	65424	20660
1140	65486	20604
1141	65542	20546
1142	65602	20489
1143	65657	20431
1144	65716	20374
1145	65774	20317
1146	65838	20262
1147	65896	20205
1148	65953	20147
1149	66008	20089
1150	66066	20032
1151	66124	19975
1152	66181	19917
1153	66235	19859
1154	66292	19801
1155	66402	19759
1156	66459	19702
1157	66515	19644
1158	66573	19587
1159	66631	19529
1160	66688	19472
1161	66749	19416
1162	66810	19359
1163	66872	19303
1164	66929	19245
1165	66988	19188
1166	67045	19131
1167	67102	19073
1168	67157	19015
1169	67214	18958
1170	67269	18899
1171	67335	18844
1172	67392	18787
1173	67453	18730
1174	67509	18672
1175	67567	18615
1176	67622	18557
1177	67677	18499
1178	67733	18441
1179	67789	18383
1180	67842	18325
1181	67898	18267
1182	67956	18209
1183	68010	18151
1184	68065	18093
1185	68117	18034
1186	68173	17976
1187	68228	17918
1188	68285	17861
1189	68340	17803
1190	68393	17744
1191	68451	17687
1192	68507	17629
1193	68564	17571
1194	68621	17514
1195	68679	17456
1196	68732	17398
1197	68792	17341
1198	68849	17284
1199	68904	17226
1200	68962	17168
1201	69021	17111
1202	69082	17055
1203	69138	16997
1204	69198	16940
1205	69255	16883
1206	69307	16824
1207	69366	16767
1208	69425	16710
1209	69486	16653
1210	69542	16595
1211	69599	16538
1212	69656	16480
1213	69713	16423
1214	69771	16366
1215	69830	16309
1216	69910	16256
1217	69979	16202
1218	70054	16148
1219	70116	16092
1220	70176	16035
1221	70242	15979
1222	70305	15923
1223	70368	15867
1224	70426	15809
1225	70486	15753
1226	70549	15696
1227	70612	15640
1228	70674	15583
1229	70737	15527
1230	70811	15473
1231	70882	15419
1232	70942	15362
1233	71013	15307
1234	71080	15252
1235	71134	15193
1236	71191	15136
1237	71249	15078
1238	71307	15021
1239	71361	14962
1240	71418	14905
1241	71475	14847
1242	71532	14789
1243	71587	14731
1244	71641	14673
1245	71699	14616
1246	71754	14558
1247	71809	14500
1248	71868	14442
1249	71926	14385
1250	71984	14327
1251	72038	14269
1252	72096	14212
1253	72152	14154
1254	72208	14096
1255	72263	14038
1256	72319	13980
1257	72377	13923
1258	72432	13865
1259	72488	13807
1260	72543	13749
1261	72604	13692
1262	72653	13633
1263	72712	13576
1264	72768	13518
1265	72822	13460
1266	72877	13402
1267	72935	13344
1268	72992	13287
1269	73061	13231
1270	73126	13175
1271	73182	13117
1272	73240	13060
1273	73297	13002
1274	73351	12944
1275	73408	12886
1276	73466	12829
1277	73521	12771
1278	73579	12713
1279	73632	12655
1280	73689	12597
1281	73746	12540
1282	73798	12481
1283	73853	12424
1284	73908	12365
1285	73964	12308
1286	74031	12252
1287	74092	12195
1288	74148	12137
1289	74203	12079
1290	74259	12021
1291	74319	11964
1292	74380	11907
1293	74438	11850
1294	74496	11792
1295	74554	11735
1296	74609	11677
1297	74664	11619
1298	74717	11561
1299	74774	11503
1300	74830	11445
1301	74887	11388
1302	74943	11330
1303	75001	11273
1304	75057	11215
1305	75111	11157
1306	75167	11099
1307	75223	11041
1308	75278	10984
1309	75332	10926
1310	75388	10868
1311	75445	10810
1312	75502	10753
1313	75562	10695
1314	75616	10638
1315	75672	10580
1316	75728	10522
1317	75789	10465
1318	75846	10408
1319	75902	10350
1320	75960	10292
1321	76014	10234
1322	76072	10177
1323	76128	10119
1324	76184	10062
1325	76242	10004
1326	76297	9946
1327	76354	9889
1328	76411	9831
1329	76467	9774
1330	76522	9716
1331	76575	9658
1332	76632	9600
1333	76689	9543
1334	76745	9485
1335	76803	9427
1336	76857	9370
1337	76912	9312
1338	76968	9254
1339	77026	9197
1340	77084	9139
1341	77140	9082
1342	77193	9024
1343	77250	8966
1344	77306	8908
1345	77364	8851
1346	77420	8793
1347	77483	8736
1348	77541	8679
1349	77597	8621
1350	77653	8564
1351	77707	8506
1352	77764	8448
1353	77819	8391
1354	77876	8333
1355	77931	8275
1356	77988	8218
1357	78042	8160
1358	78099	8103
1359	78155	8045
1360	78210	7987
1361	78266	7930
1362	78323	7872
1363	78376	7814
1364	78432	7757
1365	78490	7699
1366	78544	7641
1367	78601	7584
1368	78655	7526
1369	78712	7469
1370	78767	7411
1371	78823	7353
1372	78881	7296
1373	78937	7238
1374	78993	7181
1375	79049	7123
1376	79103	7065
1377	79161	7008
1378	79219	6951
1379	79274	6893
1380	79335	6836
1381	79392	6778
1382	79445	6720
1383	79497	6663
1384	79554	6605
1385	79610	6548
1386	79667	6490
1387	79723	6433
1388	79778	6375
1389	79834	6317
1390	79889	6260
1391	79948	6202
1392	80000	6145
1393	80057	6087
1394	80114	6030
1395	80167	5972
1396	80221	5914
1397	80278	5857
1398	80329	5799
1399	80387	5741
1400	80443	5684
1401	80501	5627
1402	80555	5569
1403	80614	5512
1404	80670	5454
1405	80726	5397
1406	80789	5340
1407	80845	5282
1408	80903	5225
1409	80958	5167
1410	81013	5109
1411	81070	5052
1412	81127	4995
1413	81187	4937
1414	81244	4880
1415	81302	4823
1416	81358	4765
1417	81414	4708
1418	81472	4650
1419	81527	4593
1420	81584	4535
1421	81639	4478
1422	81693	4420
1423	81749	4363
1424	81808	4305
1425	81868	4248
1426	81925	4191
1427	81981	4133
1428	82037	4076
1429	82094	4018
1430	82148	3961
1431	82206	3903
1432	82264	3846
1433	82321	3788
1434	82380	3731
1435	82438	3674
1436	82496	3616
1437	82551	3559
1438	82604	3501
1439	82672	3444
1440	82730	3387
1441	82785	3329
1442	82841	3272
1443	82900	3214
1444	82957	3157
1445	83011	3100
1446	83068	3042
1447	83123	2985
1448	83178	2927
1449	83233	2870
1450	83290	2812
1451	83345	2755
1452	83404	2697
1453	83461	2640
1454	83518	2583
1455	83573	2525
1456	83625	2468
1457	83681	2410
1458	83737	2353
1459	83797	2295
1460	83852	2238
1461	83908	2180
1462	83965	2123
1463	84023	2066
1464	84075	2008
1465	84132	1951
1466	84187	1893
1467	84242	1836
1468	84297	1778
1469	84352	1721
1470	84408	1664
1471	84464	1606
1472	84520	1549
1473	84577	1491
1474	84632	1434
1475	84689	1377
1476	84742	1319
1477	84798	1262
1478	84855	1204
1479	84908	1147
1480	84965	1090
1481	85021	1032
1482	85075	975
1483	85134	917
1484	85191	860
1485	85254	803
1486	85309	745
1487	85361	688
1488	85417	631
1489	85475	573
1490	85534	516
1491	85589	458
1492	85644	401
1493	85704	344
1494	85762	286
1495	85819	229
1496	85873	172
1497	85932	114
1498	85989	57
1499	86045	0
